,Date,Regions,Internal Displced People
244,2020-12-01,Sud-Ouest,7246
245,2021-01-01,Boucle du Mouhoun,44899
246,2021-01-01,Cascades,8253
247,2021-01-01,Centre,1051
248,2021-01-01,Centre-Est,29142
249,2021-01-01,Centre-Nord,438557
250,2021-01-01,Centre-Ouest,11126
251,2021-01-01,Centre-Sud,4008
252,2021-01-01,Est,78533
253,2021-01-01,Hauts-Bassins,20960
254,2021-01-01,Nord,84697
255,2021-01-01,Plateau Central,15269
256,2021-01-01,Sahel,353721
257,2021-01-01,Sud-Ouest,7246
258,2021-02-01,Boucle du Mouhoun,44899
259,2021-02-01,Cascades,8253
260,2021-02-01,Centre,1051
261,2021-02-01,Centre-Est,29142
262,2021-02-01,Centre-Nord,445869
263,2021-02-01,Centre-Ouest,11126
264,2021-02-01,Centre-Sud,4008
265,2021-02-01,Est,84827
266,2021-02-01,Hauts-Bassins,21221
267,2021-02-01,Nord,92826
268,2021-02-01,Plateau Central,15583
269,2021-02-01,Sahel,355909
270,2021-02-01,Sud-Ouest,7246
271,2021-03-01,Boucle du Mouhoun,44913
272,2021-03-01,Cascades,8629
273,2021-03-01,Centre,1051
274,2021-03-01,Centre-Est,30888
275,2021-03-01,Centre-Nord,462690
276,2021-03-01,Centre-Ouest,11126
277,2021-03-01,Centre-Sud,4024
278,2021-03-01,Est,89889
279,2021-03-01,Hauts-Bassins,21609
280,2021-03-01,Nord,100254
281,2021-03-01,Plateau Central,16408
282,2021-03-01,Sahel,347159
283,2021-03-01,Sud-Ouest,9059
284,2021-04-01,Boucle du Mouhoun,44913
285,2021-04-01,Cascades,9875
286,2021-04-01,Centre,1051
287,2021-04-01,Centre-Est,31258
288,2021-04-01,Centre-Nord,467738
289,2021-04-01,Centre-Ouest,11126
290,2021-04-01,Centre-Sud,4024
291,2021-04-01,Est,96223
292,2021-04-01,Hauts-Bassins,21836
293,2021-04-01,Nord,102295
294,2021-04-01,Plateau Central,16570
295,2021-04-01,Sahel,402786
296,2021-04-01,Sud-Ouest,9059
297,2021-05-01,Boucle du Mouhoun,44942
298,2021-05-01,Cascades,9980
299,2021-05-01,Centre,1051
300,2021-05-01,Centre-Est,31741
301,2021-05-01,Centre-Nord,469442
302,2021-05-01,Centre-Ouest,11126
303,2021-05-01,Centre-Sud,4024
304,2021-05-01,Est,98627
305,2021-05-01,Hauts-Bassins,22205
306,2021-05-01,Nord,105536
307,2021-05-01,Plateau Central,16820
308,2021-05-01,Sahel,428171
309,2021-05-01,Sud-Ouest,9751
