,Date,Region,PDI
70,2019-09,Centre-Sud,101.0
71,2019-09,Est,10293.0
72,2019-09,Hauts-Bassins,558.0
73,2019-09,Nord,14356.0
74,2019-09,Plateau Central,2598.0
75,2019-09,Sahel,130925.0
76,2019-09,Sud-Ouest,285.0
77,2019-10,Boucle du Mouhoun,8588.0
78,2019-10,Cascades,268.0
79,2019-10,Centre,1051.0
80,2019-10,Centre-Est,145.0
81,2019-10,Centre-Nord,270476.0
82,2019-10,Centre-Ouest,635.0
83,2019-10,Centre-Sud,101.0
84,2019-10,Est,10293.0
85,2019-10,Hauts-Bassins,558.0
86,2019-10,Nord,31998.0
87,2019-10,Plateau Central,1222.0
88,2019-10,Sahel,160741.0
89,2019-10,Sud-Ouest,284.0
90,2019-12,Boucle du Mouhoun,8737.0
91,2019-12,Cascades,268.0
92,2019-12,Centre,1051.0
93,2019-12,Centre-Est,555.0
94,2019-12,Centre-Nord,270476.0
95,2019-12,Centre-Ouest,635.0
96,2019-12,Centre-Sud,1773.0
97,2019-12,Est,17484.0
98,2019-12,Hauts-Bassins,3510.0
99,2019-12,Nord,38244.0
100,2019-12,Plateau Central,4718.0
101,2019-12,Sahel,212298.0
102,2019-12,Sud-Ouest,284.0
103,2020-01,Boucle du Mouhoun,10662.0
104,2020-01,Cascades,268.0
105,2020-01,Centre,1051.0
106,2020-01,Centre-Est,555.0
107,2020-01,Centre-Nord,316812.0
108,2020-01,Centre-Ouest,635.0
109,2020-01,Centre-Sud,1773.0
110,2020-01,Est,18329.0
111,2020-01,Hauts-Bassins,4011.0
112,2020-01,Nord,42396.0
113,2020-01,Plateau Central,4718.0
114,2020-01,Sahel,212298.0
115,2020-01,Sud-Ouest,284.0
116,2020-02,Boucle du Mouhoun,10662.0
117,2020-02,Cascades,268.0
118,2020-02,Centre,1051.0
119,2020-02,Centre-Est,13372.0
120,2020-02,Centre-Nord,383925.0
121,2020-02,Centre-Ouest,635.0
122,2020-02,Centre-Sud,1773.0
123,2020-02,Est,18329.0
124,2020-02,Hauts-Bassins,4011.0
125,2020-02,Nord,42396.0
126,2020-02,Plateau Central,5765.0
127,2020-02,Sahel,283046.0
128,2020-02,Sud-Ouest,284.0
129,2020-02,Boucle du Mouhoun,11350.0
130,2020-02,Cascades,268.0
131,2020-02,Centre,1051.0
132,2020-02,Centre-Est,13372.0
133,2020-02,Centre-Nord,385107.0
134,2020-02,Centre-Ouest,635.0
135,2020-02,Centre-Sud,1773.0
136,2020-02,Est,18329.0
137,2020-02,Hauts-Bassins,6365.0
138,2020-02,Nord,52396.0
139,2020-02,Plateau Central,5765.0
140,2020-02,Sahel,283046.0
141,2020-02,Sud-Ouest,284.0
142,2020-03,Boucle du Mouhoun,14548.0
143,2020-03,Cascades,5845.0
144,2020-03,Centre,1051.0
145,2020-03,Centre-Est,13372.0
146,2020-03,Centre-Nord,386706.1501675771
147,2020-03,Centre-Ouest,635.0
148,2020-03,Centre-Sud,1773.0
149,2020-03,Est,18329.0
150,2020-03,Hauts-Bassins,9788.0
151,2020-03,Nord,62491.0
152,2020-03,Plateau Central,12589.0
153,2020-03,Sahel,310059.0
154,2020-03,Sud-Ouest,1362.0
155,2020-04,Boucle du Mouhoun,15979.0
156,2020-04,Cascades,5845.0
157,2020-04,Centre,1051.0
158,2020-04,Centre-Est,13372.0
159,2020-04,Centre-Nord,387203.0
160,2020-04,Centre-Ouest,635.0
161,2020-04,Centre-Sud,1773.0
162,2020-04,Est,20283.0
163,2020-04,Hauts-Bassins,10357.0
164,2020-04,Nord,66659.0
165,2020-04,Plateau Central,13034.0
166,2020-04,Sahel,310066.0
167,2020-04,Sud-Ouest,2072.0
168,2020-06,Boucle du Mouhoun,32036.0
169,2020-06,Cascades,5845.0
170,2020-06,Centre,1051.0
171,2020-06,Centre-Est,13387.0
172,2020-06,Centre-Nord,387203.0
173,2020-06,Centre-Ouest,4705.0
174,2020-06,Centre-Sud,1773.0
175,2020-06,Est,65348.0
176,2020-06,Hauts-Bassins,11378.0
177,2020-06,Nord,71784.0
178,2020-06,Plateau Central,13832.0
179,2020-06,Sahel,310066.0
180,2020-06,Sud-Ouest,3063.0
181,2020-07,Boucle du Mouhoun,36834.0
182,2020-07,Cascades,7529.0
183,2020-07,Centre,1051.0
184,2020-07,Centre-Est,23392.0
185,2020-07,Centre-Nord,389501.0
186,2020-07,Centre-Ouest,4705.0
187,2020-07,Centre-Sud,2325.0
188,2020-07,Est,65348.0
189,2020-07,Hauts-Bassins,11394.0
190,2020-07,Nord,74114.0
191,2020-07,Plateau Central,14460.0
192,2020-07,Sahel,344528.0
193,2020-07,Sud-Ouest,3563.0
194,2020-08,Boucle du Mouhoun,37015.0
195,2020-08,Cascades,7729.0
196,2020-08,Centre,1051.0
197,2020-08,Centre-Est,23392.0
198,2020-08,Centre-Nord,416136.0
199,2020-08,Centre-Ouest,11126.0
200,2020-08,Centre-Sud,2325.0
201,2020-08,Est,66325.0
202,2020-08,Hauts-Bassins,11429.0
203,2020-08,Nord,74114.0
204,2020-08,Plateau Central,14460.0
205,2020-08,Sahel,344569.0
206,2020-08,Sud-Ouest,3563.0
207,2020-09,Boucle du Mouhoun,44859.0
208,2020-09,Cascades,7729.0
209,2020-09,Centre,1051.0
210,2020-09,Centre-Est,23392.0
211,2020-09,Centre-Nord,422267.0
212,2020-09,Centre-Ouest,11126.0
213,2020-09,Centre-Sud,2325.0
214,2020-09,Est,66460.0
215,2020-09,Hauts-Bassins,18281.0
216,2020-09,Nord,74527.0
217,2020-09,Plateau Central,14460.0
218,2020-09,Sahel,344569.0
219,2020-09,Sud-Ouest,3563.0
220,2020-11,Boucle du Mouhoun,44921.0
221,2020-11,Cascades,7783.0
222,2020-11,Centre,1051.0
223,2020-11,Centre-Est,25533.0
224,2020-11,Centre-Nord,430191.0
225,2020-11,Centre-Ouest,11126.0
226,2020-11,Centre-Sud,2325.0
227,2020-11,Est,68027.0
228,2020-11,Hauts-Bassins,19859.0
229,2020-11,Nord,76218.0
230,2020-11,Plateau Central,14601.0
231,2020-11,Sahel,344569.0
232,2020-11,Sud-Ouest,3563.0
233,2020-12,Boucle du Mouhoun,44902.0
234,2020-12,Cascades,8098.0
235,2020-12,Centre,1051.0
236,2020-12,Centre-Est,28446.0
237,2020-12,Centre-Nord,433597.0
238,2020-12,Centre-Ouest,11126.0
239,2020-12,Centre-Sud,4008.0
240,2020-12,Est,71394.0
241,2020-12,Hauts-Bassins,20571.0
242,2020-12,Nord,76953.0
243,2020-12,Plateau Central,15199.0
244,2020-12,Sahel,352402.0
245,2020-12,Sud-Ouest,7246.0
246,2021-01,Boucle du Mouhoun,44899.0
247,2021-01,Cascades,8253.0
248,2021-01,Centre,1051.0
249,2021-01,Centre-Est,29142.0
250,2021-01,Centre-Nord,438557.0
251,2021-01,Centre-Ouest,11126.0
252,2021-01,Centre-Sud,4008.0
253,2021-01,Est,78533.0
254,2021-01,Hauts-Bassins,20960.0
255,2021-01,Nord,84697.0
256,2021-01,Plateau Central,15269.0
257,2021-01,Sahel,353721.0
258,2021-01,Sud-Ouest,7246.0
259,2021-02,Boucle du Mouhoun,44899.0
260,2021-02,Cascades,8253.0
261,2021-02,Centre,1051.0
262,2021-02,Centre-Est,29142.0
263,2021-02,Centre-Nord,445869.0
264,2021-02,Centre-Ouest,11126.0
265,2021-02,Centre-Sud,4008.0
266,2021-02,Est,84827.0
