Date,Region,PDI
2021-10-31,Cascades,15626.0
2021-10-31,Centre,1051.0
2021-10-31,Centre-Est,33815.0
2021-10-31,Centre-Nord,510110.0
2021-10-31,Centre-Ouest,20960.0
2021-10-31,Centre-Sud,4359.0
2021-10-31,Est,146960.0
2021-10-31,Hauts-Bassins,23943.0
2021-10-31,Nord,142107.0
2021-10-31,Plateau Central,11851.0
2021-10-31,Sahel,510279.0
2021-10-31,Sud-Ouest,13067.0
2021-11-30,Boucle du Mouhoun,50042.0
2021-11-30,Cascades,15626.0
2021-11-30,Centre,1051.0
2021-11-30,Centre-Est,34766.0
2021-11-30,Centre-Nord,518947.0
2021-11-30,Centre-Ouest,20960.0
2021-11-30,Centre-Sud,4359.0
2021-11-30,Est,148191.0
2021-11-30,Hauts-Bassins,24739.0
2021-11-30,Nord,143544.0
2021-11-30,Plateau Central,12577.0
2021-11-30,Sahel,510279.0
2021-11-30,Sud-Ouest,16694.0
2021-12-31,Boucle du Mouhoun,50054.0
2021-12-31,Cascades,17793.0
2021-12-31,Centre,1051.0
2021-12-31,Centre-Est,34805.0
2021-12-31,Centre-Nord,566132.0
2021-12-31,Centre-Ouest,20960.0
2021-12-31,Centre-Sud,4429.0
2021-12-31,Est,147990.0
2021-12-31,Hauts-Bassins,24825.0
2021-12-31,Nord,166367.0
2021-12-31,Plateau Central,12588.0
2021-12-31,Sahel,512916.0
2021-12-31,Sud-Ouest,20066.0
2022-01-31,Boucle du Mouhoun,57516.0
2022-01-31,Cascades,19133.0
2022-01-31,Centre,100.0
2022-01-31,Centre-Est,38999.0
2022-01-31,Centre-Nord,626602.0
2022-01-31,Centre-Ouest,20960.0
2022-01-31,Centre-Sud,4429.0
2022-01-31,Est,151706.0
2022-01-31,Hauts-Bassins,32035.0
2022-01-31,Nord,207096.0
2022-01-31,Plateau Central,16628.0
2022-01-31,Sahel,546385.0
2022-01-31,Sud-Ouest,20066.0
2022-02-28,Boucle du Mouhoun,62669.0
2022-02-28,Cascades,19456.0
2022-02-28,Centre,1051.0
2022-02-28,Centre-Est,38999.0
2022-02-28,Centre-Nord,652159.0
2022-02-28,Centre-Ouest,20960.0
2022-02-28,Centre-Sud,4429.0
2022-02-28,Est,156485.0
2022-02-28,Hauts-Bassins,33062.0
2022-02-28,Nord,212434.0
2022-02-28,Plateau Central,16643.0
2022-02-28,Sahel,575870.0
2022-02-28,Sud-Ouest,20066.0
2022-03-31,Boucle du Mouhoun,77001.0
2022-03-31,Cascades,20291.0
2022-03-31,Centre,1051.0
2022-03-31,Centre-Est,43383.0
2022-03-31,Centre-Nord,655891.0
2022-03-31,Centre-Ouest,20960.0
2022-03-31,Centre-Sud,4429.0
2022-03-31,Est,162699.0
2022-03-31,Hauts-Bassins,38095.0
2022-03-31,Nord,218695.0
2022-03-31,Plateau Central,18139.0
2022-03-31,Sahel,568598.0
2022-03-31,Sud-Ouest,20066.0
2022-04-28,Boucle du Mouhoun,80938.0
2022-04-28,Cascades,20911.0
2022-04-28,Centre,6761.0
2022-04-28,Centre-Est,45156.0
2022-04-28,Centre-Nord,657041.0
2022-04-28,Centre-Ouest,30076.0
2022-04-28,Centre-Sud,5088.0
2022-04-28,Est,170416.0
2022-04-28,Hauts-Bassins,39367.0
2022-04-28,Nord,222169.0
2022-04-28,Plateau Central,20307.0
2022-04-28,Sahel,574096.0
2022-04-28,Sud-Ouest,29824.0
2022-04-30,Boucle du Mouhoun,72961.0
2022-04-30,Cascades,13878.0
2022-04-30,Centre,6761.0
2022-04-30,Centre-Est,44862.0
2022-04-30,Centre-Nord,456198.0
2022-04-30,Centre-Ouest,30076.0
2022-04-30,Centre-Sud,5088.0
2022-04-30,Est,162210.0
2022-04-30,Hauts-Bassins,36835.0
2022-04-30,Nord,203814.0
2022-04-30,Plateau Central,20001.0
2022-04-30,Sahel,437504.0
2022-04-30,Sud-Ouest,29824.0
2022-09-30,Boucle du Mouhoun,83483.0
2022-09-30,Cascades,16562.0
2022-09-30,Centre,9875.0
2022-09-30,Centre-Est,53257.0
2022-09-30,Centre-Nord,468343.0
2022-09-30,Centre-Ouest,30076.0
2022-09-30,Centre-Sud,5740.0
2022-09-30,Est,191623.0
2022-09-30,Hauts-Bassins,49660.0
2022-09-30,Nord,249292.0
2022-09-30,Plateau Central,31654.0
2022-09-30,Sahel,480870.0
2022-09-30,Sud-Ouest,48897.0
2022-10-31,Boucle du Mouhoun,84948.0
2022-10-31,Cascades,17037.0
2022-10-31,Centre,9875.0
2022-10-31,Centre-Est,53833.0
2022-10-31,Centre-Nord,468482.0
2022-10-31,Centre-Ouest,39401.0
2022-10-31,Centre-Sud,8528.0
2022-10-31,Est,195005.0
2022-10-31,Hauts-Bassins,51148.0
2022-10-31,Nord,249564.0
2022-10-31,Plateau Central,35399.0
2022-10-31,Sahel,496804.0
2022-10-31,Sud-Ouest,51891.0
