,Location,Date,Precipitation(mm)
219,Bobo-Dioulasso,2009-04-01,8.1
220,Bobo-Dioulasso,2009-05-01,57.3
221,Bobo-Dioulasso,2009-06-01,183.6
222,Bobo-Dioulasso,2009-07-01,207.8
223,Bobo-Dioulasso,2009-08-01,205.1
224,Bobo-Dioulasso,2009-09-01,193.9
225,Bobo-Dioulasso,2009-10-01,132.0
226,Bobo-Dioulasso,2009-11-01,2.4
227,Bobo-Dioulasso,2009-12-01,0.0
228,Bobo-Dioulasso,2010-01-01,0.0
229,Bobo-Dioulasso,2010-02-01,0.0
230,Bobo-Dioulasso,2010-03-01,0.0
231,Bobo-Dioulasso,2010-04-01,58.9
232,Bobo-Dioulasso,2010-05-01,173.2
233,Bobo-Dioulasso,2010-06-01,78.7
234,Bobo-Dioulasso,2010-07-01,125.8
235,Bobo-Dioulasso,2010-08-01,404.7
236,Bobo-Dioulasso,2010-09-01,342.3
237,Bobo-Dioulasso,2010-10-01,66.3
238,Bobo-Dioulasso,2010-11-01,0.2
239,Bobo-Dioulasso,2010-12-01,0.0
240,Bobo-Dioulasso,2011-01-01,0.0
241,Bobo-Dioulasso,2011-02-01,0.0
242,Bobo-Dioulasso,2011-03-01,16.4
243,Bobo-Dioulasso,2011-04-01,70.2
244,Bobo-Dioulasso,2011-05-01,44.8
245,Bobo-Dioulasso,2011-06-01,110.4
246,Bobo-Dioulasso,2011-07-01,126.2
247,Bobo-Dioulasso,2011-08-01,165.4
248,Bobo-Dioulasso,2011-09-01,170.4
249,Bobo-Dioulasso,2011-10-01,71.6
250,Bobo-Dioulasso,2011-11-01,0.0
251,Bobo-Dioulasso,2011-12-01,0.0
252,Bobo-Dioulasso,2012-01-01,0.0
253,Bobo-Dioulasso,2012-02-01,0.0
254,Bobo-Dioulasso,2012-03-01,2.1
255,Bobo-Dioulasso,2012-04-01,105.0
256,Bobo-Dioulasso,2012-05-01,129.8
257,Bobo-Dioulasso,2012-06-01,48.4
258,Bobo-Dioulasso,2012-07-01,413.9
259,Bobo-Dioulasso,2012-08-01,154.1
260,Bobo-Dioulasso,2012-09-01,142.1
261,Bobo-Dioulasso,2012-10-01,74.8
262,Bobo-Dioulasso,2012-11-01,9.0
263,Bobo-Dioulasso,2012-12-01,6.1
264,Bobo-Dioulasso,2013-01-01,0.0
265,Bobo-Dioulasso,2013-02-01,1.2
