"","Lat","Lon","Z50","Z100"
"79","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"80","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"81","11.15","-1.15","1227.30848831763","1510.11114926494"
"82","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"83","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"84","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"85","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"86","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"87","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"88","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"89","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"90","11.15","-1.15","1227.30848831763","1510.11114926494"
